"#","sex  ","  age","address  ","pstatus  ","  medu","mjob    ","  fedu","fjob    ","guardian  ","famsize  ","  famrel","reason    ","  traveltime","  studytime","  failures","schoolsup  ","famsup  ","activities  ","paidclass  ","internet  ","  freetime","  walc","  dalc","  health","  absences","  mean"
"18","F    ","   19","R        ","A        ","     1","teacher ","     0","services","mother    ","LE3      ","       3","home      ","           3","          1","         2","yes        ","yes     ","yes         ","no         ","yes       ","         3","     1","     1","       3","        62","    13"
"19","M    ","   20","R        ","A        ","     1","at_home ","     2","health  ","father    ","GT3      ","       1","home      ","           3","          3","         1","yes        ","yes     ","no          ","no         ","yes       ","         3","     2","     2","       3","        63","    17"
"20","M    ","   19","U        ","A        ","     0","services","     0","health  ","father    ","GT3      ","       3","reputation","           3","          3","         3","yes        ","no      ","yes         ","no         ","no        ","         1","     3","     1","       2","        53","     7"
"21","M    ","   17","R        ","T        ","     3","health  ","     0","teacher ","father    ","LE3      ","       4","course    ","           2","          2","         2","no         ","no      ","no          ","no         ","yes       ","         3","     4","     3","       3","        79","    85"
"22","M    ","   18","U        ","A        ","     1","other   ","     3","services","father    ","GT3      ","       4","reputation","           3","          3","         3","no         ","no      ","yes         ","no         ","no        ","         3","     2","     4","       3","        84","    35"
"23","M    ","   16","R        ","A        ","     1","teacher ","     3","health  ","other     ","GT3      ","       4","other     ","           3","          1","         1","no         ","yes     ","no          ","yes        ","no        ","         3","     4","     4","       1","        82","    96"
"24","F    ","   19","U        ","A        ","     1","services","     3","services","mother    ","LE3      ","       3","reputation","           1","          2","         3","no         ","no      ","no          ","yes        ","yes       ","         2","     4","     1","       1","        47","    73"
"25","M    ","   15","R        ","A        ","     3","services","     0","other   ","mother    ","GT3      ","       4","home      ","           3","          1","         1","no         ","yes     ","yes         ","yes        ","yes       ","         1","     4","     2","       2","        47","    47"
"26","M    ","   21","U        ","A        ","     3","services","     2","health  ","mother    ","LE3      ","       1","other     ","           2","          2","         2","no         ","yes     ","no          ","no         ","yes       ","         1","     4","     4","       1","        85","    11"
"27","F    ","   16","U        ","A        ","     1","at_home ","     2","at_home ","father    ","LE3      ","       4","reputation","           3","          3","         2","yes        ","yes     ","no          ","no         ","no        ","         1","     2","     2","       4","        13","    58"
"28","F    ","   17","R        ","T        ","     3","services","     2","other   ","father    ","GT3      ","       4","other     ","           2","          3","         2","yes        ","no      ","no          ","no         ","yes       ","         1","     3","     2","       1","        69","     6"
"29","M    ","   20","R        ","T        ","     2","other   ","     0","other   ","mother    ","LE3      ","       2","course    ","           1","          3","         3","yes        ","no      ","no          ","no         ","yes       ","         1","     1","     2","       4","        50","    57"
"30","M    ","   17","R        ","A        ","     1","health  ","     0","services","other     ","GT3      ","       4","reputation","           3","          2","         2","yes        ","no      ","no          ","yes        ","yes       ","         3","     4","     2","       2","        73","    72"
"31","F    ","   17","R        ","A        ","     2","health  ","     2","services","father    ","LE3      ","       2","course    ","           2","          1","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     2","     3","       4","        89","    10"
"32","M    ","   18","U        ","A        ","     0","health  ","     0","teacher ","other     ","LE3      ","       4","home      ","           1","          2","         1","no         ","yes     ","yes         ","yes        ","no        ","         1","     1","     4","       3","        69","    84"
"33","F    ","   17","R        ","A        ","     0","teacher ","     1","services","mother    ","GT3      ","       1","other     ","           3","          3","         3","yes        ","no      ","no          ","no         ","yes       ","         3","     3","     4","       1","        34","    44"
"34","M    ","   18","U        ","A        ","     3","teacher ","     0","health  ","other     ","LE3      ","       1","other     ","           1","          3","         1","yes        ","no      ","no          ","yes        ","yes       ","         1","     4","     2","       4","        54","    63"
"35","M    ","   17","R        ","A        ","     1","services","     3","at_home ","mother    ","LE3      ","       2","home      ","           2","          3","         3","no         ","yes     ","no          ","no         ","yes       ","         1","     2","     1","       1","        22","    32"
"36","M    ","   15","R        ","T        ","     1","at_home ","     1","teacher ","other     ","GT3      ","       1","other     ","           1","          1","         2","no         ","yes     ","yes         ","yes        ","no        ","         3","     4","     1","       1","        82","    33"
"37","F    ","   15","R        ","T        ","     1","health  ","     0","teacher ","mother    ","LE3      ","       1","home      ","           2","          2","         1","no         ","yes     ","yes         ","yes        ","yes       ","         4","     3","     1","       4","        58","    39"
"38","F    ","   19","R        ","A        ","     0","other   ","     1","other   ","mother    ","LE3      ","       3","course    ","           1","          1","         2","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     3","     4","       2","        49","    13"
"39","M    ","   21","U        ","T        ","     0","at_home ","     1","other   ","mother    ","LE3      ","       2","other     ","           2","          2","         2","yes        ","yes     ","yes         ","no         ","no        ","         2","     1","     4","       4","        44","     0"
"40","M    ","   16","U        ","A        ","     0","other   ","     0","services","mother    ","GT3      ","       3","other     ","           3","          2","         2","no         ","no      ","no          ","yes        ","no        ","         4","     2","     2","       1","        24","    50"
"41","F    ","   18","U        ","T        ","     1","at_home ","     2","other   ","mother    ","GT3      ","       2","home      ","           2","          1","         2","no         ","yes     ","yes         ","no         ","yes       ","         1","     1","     3","       4","        35","    64"
"42","M    ","   15","R        ","T        ","     0","teacher ","     2","health  ","mother    ","GT3      ","       2","course    ","           3","          1","         3","no         ","no      ","no          ","no         ","no        ","         2","     1","     1","       4","        81","    93"
"43","M    ","   20","U        ","T        ","     2","other   ","     2","at_home ","father    ","GT3      ","       4","reputation","           2","          3","         1","yes        ","yes     ","yes         ","no         ","no        ","         3","     4","     1","       1","        46","    23"
"44","M    ","   16","R        ","A        ","     3","health  ","     3","at_home ","other     ","LE3      ","       3","reputation","           1","          2","         1","yes        ","no      ","no          ","yes        ","no        ","         3","     1","     2","       4","        91","     7"
"45","F    ","   20","R        ","A        ","     2","other   ","     0","services","mother    ","LE3      ","       2","reputation","           2","          3","         1","yes        ","no      ","yes         ","yes        ","no        ","         2","     3","     3","       2","        34","    25"
"46","M    ","   21","U        ","T        ","     0","at_home ","     3","at_home ","father    ","LE3      ","       1","reputation","           3","          2","         1","yes        ","yes     ","no          ","yes        ","yes       ","         2","     1","     4","       2","        90","    57"
"47","M    ","   17","U        ","A        ","     2","teacher ","     1","services","mother    ","LE3      ","       1","course    ","           3","          3","         2","no         ","no      ","no          ","yes        ","yes       ","         2","     1","     1","       2","        52","    35"
"48","M    ","   16","U        ","A        ","     0","teacher ","     1","other   ","father    ","LE3      ","       2","course    ","           3","          2","         2","yes        ","no      ","yes         ","yes        ","no        ","         4","     2","     2","       2","        39","    60"
"49","M    ","   17","R        ","T        ","     0","health  ","     2","health  ","mother    ","GT3      ","       4","other     ","           3","          3","         2","no         ","no      ","yes         ","no         ","no        ","         3","     3","     2","       4","         0","     9"
"50","F    ","   17","R        ","A        ","     3","services","     2","other   ","father    ","GT3      ","       1","course    ","           3","          2","         1","no         ","yes     ","yes         ","no         ","no        ","         1","     2","     4","       4","        41","    30"
"51","M    ","   20","R        ","A        ","     3","services","     3","other   ","other     ","GT3      ","       3","reputation","           2","          3","         1","no         ","no      ","no          ","no         ","yes       ","         4","     3","     4","       2","        66","    73"
"52","M    ","   20","R        ","T        ","     2","health  ","     2","other   ","mother    ","GT3      ","       3","other     ","           1","          1","         3","yes        ","yes     ","yes         ","no         ","no        ","         3","     4","     1","       4","        30","    14"
"53","F    ","   21","R        ","T        ","     1","health  ","     0","services","other     ","LE3      ","       1","course    ","           2","          2","         2","yes        ","no      ","no          ","yes        ","yes       ","         2","     4","     3","       1","         0","    11"
"54","M    ","   21","U        ","T        ","     1","other   ","     1","at_home ","other     ","GT3      ","       2","home      ","           1","          1","         2","yes        ","no      ","yes         ","no         ","yes       ","         1","     4","     2","       3","        70","    76"
"55","M    ","   21","R        ","T        ","     3","teacher ","     3","services","father    ","LE3      ","       1","course    ","           3","          1","         3","yes        ","yes     ","yes         ","yes        ","yes       ","         3","     4","     3","       2","         8","    28"
"56","M    ","   16","R        ","T        ","     1","teacher ","     2","teacher ","father    ","GT3      ","       3","home      ","           1","          2","         3","no         ","yes     ","yes         ","yes        ","no        ","         3","     4","     2","       2","        88","    24"
"57","F    ","   20","U        ","T        ","     1","at_home ","     3","teacher ","father    ","LE3      ","       4","reputation","           1","          3","         3","no         ","no      ","yes         ","no         ","yes       ","         4","     3","     1","       3","         8","    18"
"58","M    ","   16","U        ","T        ","     3","at_home ","     1","teacher ","father    ","GT3      ","       2","reputation","           2","          2","         3","yes        ","yes     ","no          ","yes        ","yes       ","         1","     4","     4","       1","         8","    81"
"59","F    ","   21","R        ","T        ","     2","health  ","     0","teacher ","father    ","GT3      ","       2","home      ","           2","          3","         2","yes        ","no      ","yes         ","yes        ","yes       ","         3","     3","     2","       3","        46","    69"
"60","M    ","   18","U        ","T        ","     2","other   ","     2","at_home ","mother    ","GT3      ","       2","reputation","           3","          1","         2","yes        ","yes     ","no          ","yes        ","no        ","         2","     1","     1","       2","        74","    98"
"61","F    ","   15","R        ","T        ","     2","teacher ","     2","other   ","mother    ","GT3      ","       4","reputation","           1","          1","         3","yes        ","no      ","no          ","no         ","no        ","         3","     1","     2","       3","        23","    47"
"62","F    ","   17","U        ","A        ","     2","other   ","     2","other   ","other     ","LE3      ","       2","course    ","           1","          2","         3","no         ","yes     ","no          ","no         ","no        ","         2","     3","     3","       3","        34","     0"
"63","F    ","   19","U        ","A        ","     3","services","     2","teacher ","father    ","LE3      ","       2","reputation","           2","          2","         1","no         ","no      ","no          ","no         ","no        ","         3","     3","     1","       2","        59","    36"
"64","F    ","   16","R        ","A        ","     3","other   ","     0","at_home ","mother    ","LE3      ","       3","home      ","           3","          1","         3","no         ","no      ","no          ","yes        ","yes       ","         3","     3","     3","       3","        50","     4"
"65","F    ","   18","R        ","A        ","     0","at_home ","     2","at_home ","father    ","LE3      ","       1","reputation","           1","          3","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     1","     2","       4","        26","    24"
"66","M    ","   17","U        ","T        ","     3","teacher ","     2","other   ","other     ","GT3      ","       1","reputation","           1","          1","         1","no         ","no      ","yes         ","no         ","no        ","         1","     3","     2","       3","        58","    45"
"67","F    ","   21","R        ","T        ","     3","health  ","     2","health  ","father    ","GT3      ","       1","course    ","           2","          3","         3","no         ","yes     ","no          ","yes        ","yes       ","         3","     2","     1","       1","        88","    95"
"68","F    ","   17","R        ","A        ","     3","services","     1","other   ","other     ","GT3      ","       2","course    ","           1","          1","         2","yes        ","no      ","yes         ","no         ","yes       ","         4","     1","     3","       4","        61","    28"
"69","M    ","   17","U        ","T        ","     1","health  ","     2","at_home ","mother    ","GT3      ","       2","reputation","           3","          2","         3","no         ","yes     ","no          ","no         ","yes       ","         2","     2","     3","       2","        60","    45"
"70","F    ","   15","R        ","T        ","     3","services","     2","teacher ","father    ","GT3      ","       4","reputation","           2","          2","         2","no         ","no      ","no          ","yes        ","yes       ","         4","     3","     1","       4","        81","    42"
"71","M    ","   17","R        ","A        ","     0","other   ","     0","at_home ","other     ","LE3      ","       2","reputation","           2","          2","         1","yes        ","no      ","no          ","no         ","no        ","         1","     3","     3","       4","        88","    61"
"72","F    ","   19","R        ","T        ","     1","at_home ","     1","services","other     ","GT3      ","       4","home      ","           3","          3","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     3","     2","       2","        29","    68"
"73","F    ","   21","R        ","T        ","     2","health  ","     3","health  ","mother    ","GT3      ","       2","reputation","           2","          3","         3","yes        ","no      ","no          ","no         ","no        ","         3","     2","     1","       1","        23","    60"
"74","F    ","   17","R        ","A        ","     0","services","     2","health  ","mother    ","LE3      ","       1","course    ","           2","          1","         2","yes        ","no      ","yes         ","yes        ","yes       ","         2","     2","     2","       1","        57","    42"
"75","M    ","   16","R        ","T        ","     0","services","     1","health  ","mother    ","LE3      ","       1","reputation","           2","          1","         2","no         ","no      ","no          ","yes        ","no        ","         3","     3","     4","       4","        19","    49"
"76","M    ","   16","U        ","T        ","     1","at_home ","     2","at_home ","other     ","GT3      ","       1","other     ","           2","          1","         1","no         ","no      ","yes         ","no         ","yes       ","         4","     2","     3","       3","        13","    51"
"77","M    ","   18","R        ","T        ","     3","teacher ","     0","at_home ","father    ","LE3      ","       2","other     ","           3","          2","         2","no         ","no      ","no          ","no         ","yes       ","         1","     1","     3","       4","        22","    72"
"78","M    ","   16","R        ","T        ","     2","at_home ","     3","health  ","father    ","GT3      ","       4","other     ","           1","          1","         1","no         ","yes     ","no          ","no         ","yes       ","         4","     2","     1","       2","        68","    83"
"79","F    ","   17","R        ","A        ","     1","teacher ","     0","teacher ","other     ","GT3      ","       2","reputation","           2","          1","         3","yes        ","yes     ","no          ","yes        ","no        ","         4","     4","     2","       4","        40","    53"
"80","F    ","   18","U        ","A        ","     0","teacher ","     3","services","mother    ","GT3      ","       2","course    ","           3","          1","         3","no         ","yes     ","no          ","no         ","no        ","         2","     3","     2","       3","         7","    93"
"81","F    ","   19","R        ","T        ","     0","health  ","     0","health  ","other     ","LE3      ","       1","other     ","           1","          1","         2","yes        ","yes     ","yes         ","yes        ","yes       ","         3","     2","     4","       4","        26","    50"
"82","F    ","   16","R        ","A        ","     0","health  ","     0","at_home ","mother    ","GT3      ","       4","home      ","           3","          3","         3","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     3","     1","       1","        80","    80"
"83","F    ","   20","R        ","A        ","     0","services","     2","health  ","father    ","LE3      ","       2","other     ","           1","          2","         3","no         ","no      ","no          ","yes        ","yes       ","         1","     1","     3","       3","        80","    89"
"84","F    ","   19","U        ","A        ","     1","other   ","     3","services","mother    ","GT3      ","       2","other     ","           1","          2","         2","no         ","yes     ","no          ","no         ","no        ","         1","     3","     1","       4","        74","    38"
"85","M    ","   20","R        ","A        ","     1","teacher ","     3","health  ","mother    ","LE3      ","       2","other     ","           3","          2","         3","no         ","no      ","no          ","yes        ","yes       ","         2","     3","     3","       4","        49","    19"
"86","F    ","   16","U        ","A        ","     3","services","     3","at_home ","mother    ","LE3      ","       3","reputation","           2","          3","         2","yes        ","no      ","no          ","no         ","no        ","         3","     2","     1","       3","        82","    59"
"87","F    ","   15","R        ","T        ","     0","teacher ","     0","at_home ","other     ","LE3      ","       1","reputation","           2","          1","         1","yes        ","no      ","no          ","yes        ","yes       ","         1","     1","     2","       4","        83","    55"
"88","M    ","   20","R        ","T        ","     2","health  ","     0","services","father    ","GT3      ","       2","other     ","           3","          1","         2","no         ","no      ","no          ","no         ","yes       ","         3","     2","     1","       1","        80","    44"
"89","M    ","   15","U        ","A        ","     0","teacher ","     2","health  ","other     ","LE3      ","       4","course    ","           2","          2","         3","yes        ","yes     ","no          ","no         ","yes       ","         4","     3","     3","       4","         1","     5"
"90","F    ","   21","R        ","A        ","     3","health  ","     3","services","mother    ","LE3      ","       3","other     ","           3","          3","         1","no         ","no      ","no          ","yes        ","no        ","         4","     4","     4","       1","        37","    28"
"91","M    ","   18","R        ","T        ","     3","at_home ","     2","at_home ","other     ","LE3      ","       3","home      ","           1","          1","         2","yes        ","no      ","yes         ","no         ","no        ","         2","     2","     4","       4","        86","    95"
"92","F    ","   20","U        ","A        ","     1","teacher ","     1","health  ","mother    ","GT3      ","       3","course    ","           3","          3","         1","yes        ","no      ","no          ","no         ","yes       ","         2","     4","     1","       4","        29","    73"
"93","F    ","   17","R        ","T        ","     0","other   ","     2","at_home ","other     ","LE3      ","       1","home      ","           3","          1","         3","no         ","no      ","no          ","yes        ","no        ","         4","     4","     1","       4","        79","    44"
"94","F    ","   15","U        ","T        ","     3","teacher ","     2","at_home ","mother    ","GT3      ","       1","other     ","           3","          1","         3","yes        ","no      ","yes         ","no         ","no        ","         4","     1","     3","       2","        60","    56"
"95","F    ","   18","U        ","T        ","     0","other   ","     1","other   ","mother    ","LE3      ","       1","home      ","           1","          3","         1","yes        ","no      ","yes         ","yes        ","no        ","         1","     4","     4","       3","        47","    84"
"96","F    ","   20","U        ","A        ","     2","at_home ","     1","teacher ","mother    ","LE3      ","       3","home      ","           2","          3","         1","yes        ","no      ","no          ","no         ","no        ","         3","     3","     2","       1","        14","    45"
"97","M    ","   15","R        ","A        ","     0","health  ","     3","teacher ","mother    ","LE3      ","       1","reputation","           3","          2","         3","yes        ","yes     ","yes         ","no         ","no        ","         3","     4","     3","       1","        65","    20"
"98","M    ","   21","R        ","T        ","     0","teacher ","     0","at_home ","other     ","LE3      ","       4","home      ","           3","          3","         3","no         ","yes     ","no          ","no         ","no        ","         1","     3","     1","       3","        80","    59"
"99","F    ","   17","U        ","T        ","     0","at_home ","     2","teacher ","other     ","LE3      ","       4","reputation","           2","          1","         2","no         ","yes     ","yes         ","yes        ","yes       ","         2","     4","     2","       3","         6","    24"
"100","F    ","   20","R        ","A        ","     2","health  ","     1","other   ","other     ","LE3      ","       4","course    ","           3","          2","         1","no         ","yes     ","no          ","yes        ","no        ","         4","     2","     2","       3","        65","    71"
"101","M    ","   17","R        ","A        ","     2","other   ","     1","other   ","father    ","LE3      ","       3","reputation","           3","          2","         1","no         ","no      ","no          ","no         ","no        ","         2","     3","     4","       3","        56","    96"
"102","M    ","   21","R        ","A        ","     0","health  ","     0","services","mother    ","LE3      ","       3","course    ","           1","          2","         2","no         ","yes     ","no          ","no         ","no        ","         3","     1","     1","       2","        63","    76"
"103","M    ","   20","R        ","T        ","     1","other   ","     1","services","father    ","GT3      ","       1","course    ","           3","          2","         1","yes        ","yes     ","no          ","yes        ","yes       ","         3","     1","     3","       3","        22","    27"
"104","F    ","   20","R        ","A        ","     1","services","     0","at_home ","other     ","LE3      ","       4","reputation","           1","          2","         1","yes        ","no      ","no          ","no         ","yes       ","         4","     4","     3","       1","        91","    48"
"105","M    ","   20","U        ","T        ","     3","teacher ","     1","health  ","father    ","GT3      ","       3","other     ","           2","          2","         2","no         ","no      ","no          ","yes        ","no        ","         3","     3","     1","       4","        33","    30"
"106","M    ","   21","R        ","A        ","     3","teacher ","     0","other   ","father    ","GT3      ","       4","other     ","           2","          3","         3","yes        ","no      ","no          ","yes        ","no        ","         4","     4","     4","       4","        21","    98"
"107","F    ","   19","U        ","A        ","     2","health  ","     0","services","father    ","GT3      ","       3","course    ","           3","          3","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         2","     4","     1","       2","        10","    85"
"108","M    ","   20","R        ","T        ","     1","other   ","     0","health  ","mother    ","GT3      ","       4","home      ","           2","          3","         3","yes        ","yes     ","no          ","no         ","yes       ","         2","     4","     3","       4","        47","    56"
"109","F    ","   18","U        ","A        ","     1","services","     1","health  ","father    ","LE3      ","       4","reputation","           3","          2","         1","yes        ","yes     ","yes         ","no         ","no        ","         1","     3","     3","       2","        52","    70"
"110","F    ","   19","R        ","T        ","     3","health  ","     1","teacher ","mother    ","GT3      ","       3","home      ","           1","          2","         3","no         ","no      ","no          ","yes        ","no        ","         1","     2","     4","       2","        31","    24"
"111","M    ","   17","U        ","T        ","     2","health  ","     3","at_home ","other     ","LE3      ","       3","home      ","           2","          2","         3","yes        ","no      ","yes         ","yes        ","no        ","         2","     3","     3","       1","        13","    86"
"112","F    ","   19","R        ","A        ","     0","services","     0","health  ","father    ","LE3      ","       4","other     ","           2","          2","         2","yes        ","yes     ","no          ","no         ","yes       ","         1","     2","     3","       4","         9","    67"
"113","F    ","   20","R        ","T        ","     3","services","     2","health  ","mother    ","GT3      ","       1","reputation","           3","          2","         3","yes        ","no      ","no          ","no         ","yes       ","         3","     2","     4","       1","        87","    18"
"114","M    ","   16","R        ","A        ","     1","teacher ","     0","other   ","father    ","GT3      ","       4","other     ","           2","          3","         2","yes        ","yes     ","yes         ","yes        ","yes       ","         4","     1","     3","       3","        52","    60"
"115","F    ","   21","U        ","A        ","     3","at_home ","     3","other   ","mother    ","LE3      ","       3","reputation","           2","          2","         1","no         ","yes     ","no          ","no         ","yes       ","         1","     1","     1","       3","         1","    75"
"116","F    ","   16","U        ","T        ","     1","at_home ","     3","other   ","father    ","GT3      ","       2","home      ","           1","          1","         3","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     1","     1","       1","        86","    77"
"117","M    ","   19","U        ","A        ","     0","at_home ","     0","other   ","mother    ","GT3      ","       4","other     ","           3","          2","         2","yes        ","yes     ","no          ","yes        ","yes       ","         3","     3","     4","       2","        86","    31"
"118","M    ","   18","U        ","A        ","     2","health  ","     0","health  ","other     ","LE3      ","       1","other     ","           1","          2","         2","yes        ","no      ","no          ","yes        ","no        ","         2","     2","     3","       4","        69","    79"
"119","F    ","   19","U        ","T        ","     2","at_home ","     3","at_home ","other     ","LE3      ","       3","course    ","           2","          3","         3","yes        ","yes     ","yes         ","yes        ","no        ","         1","     1","     3","       4","        51","    78"
"120","M    ","   19","U        ","T        ","     1","other   ","     0","health  ","mother    ","LE3      ","       3","other     ","           3","          2","         1","no         ","no      ","no          ","no         ","yes       ","         3","     2","     1","       3","        11","    53"
"121","M    ","   18","U        ","T        ","     3","health  ","     2","other   ","mother    ","LE3      ","       3","course    ","           3","          1","         1","no         ","no      ","no          ","yes        ","no        ","         2","     4","     4","       2","        12","    55"
"122","F    ","   18","R        ","T        ","     0","other   ","     3","at_home ","father    ","GT3      ","       1","course    ","           1","          2","         2","yes        ","no      ","no          ","yes        ","no        ","         3","     1","     2","       4","        55","    83"
"123","M    ","   17","U        ","A        ","     2","health  ","     3","health  ","other     ","LE3      ","       2","reputation","           2","          1","         2","yes        ","yes     ","yes         ","no         ","yes       ","         2","     1","     3","       1","        76","    55"
"124","M    ","   17","U        ","A        ","     1","at_home ","     3","other   ","father    ","LE3      ","       1","course    ","           3","          3","         3","yes        ","no      ","yes         ","yes        ","no        ","         4","     2","     3","       3","        34","    18"
"125","F    ","   20","R        ","A        ","     1","health  ","     2","at_home ","father    ","LE3      ","       3","home      ","           1","          3","         2","yes        ","no      ","no          ","yes        ","no        ","         2","     4","     1","       2","        69","    15"
"126","F    ","   20","U        ","T        ","     2","other   ","     0","health  ","father    ","LE3      ","       1","home      ","           2","          2","         2","no         ","no      ","yes         ","yes        ","no        ","         4","     2","     3","       1","        41","    77"
"127","M    ","   16","U        ","T        ","     0","at_home ","     1","health  ","father    ","GT3      ","       3","reputation","           3","          1","         2","yes        ","no      ","no          ","yes        ","no        ","         1","     4","     1","       1","        78","    60"
"128","F    ","   15","R        ","T        ","     2","other   ","     3","teacher ","father    ","GT3      ","       2","reputation","           2","          1","         2","yes        ","yes     ","yes         ","yes        ","no        ","         2","     1","     3","       1","        23","    18"
"129","M    ","   18","R        ","A        ","     3","other   ","     3","other   ","other     ","GT3      ","       4","other     ","           1","          2","         3","no         ","no      ","no          ","yes        ","yes       ","         2","     2","     2","       3","         5","    58"
"130","F    ","   16","U        ","A        ","     1","other   ","     1","at_home ","mother    ","LE3      ","       3","reputation","           2","          2","         2","yes        ","no      ","yes         ","no         ","no        ","         1","     2","     3","       4","        38","    86"
"131","M    ","   19","U        ","A        ","     3","other   ","     1","at_home ","father    ","GT3      ","       2","reputation","           1","          2","         1","yes        ","yes     ","yes         ","yes        ","yes       ","         2","     1","     1","       1","        92","    66"
"132","M    ","   16","U        ","A        ","     3","services","     2","teacher ","mother    ","GT3      ","       2","other     ","           2","          1","         1","no         ","yes     ","yes         ","no         ","no        ","         4","     4","     3","       2","        49","    54"
"133","F    ","   20","R        ","A        ","     1","teacher ","     0","health  ","father    ","LE3      ","       1","course    ","           3","          1","         2","no         ","yes     ","no          ","yes        ","yes       ","         1","     4","     1","       4","        69","    68"
"134","F    ","   17","U        ","A        ","     1","health  ","     3","services","mother    ","GT3      ","       2","home      ","           3","          2","         2","no         ","yes     ","no          ","yes        ","no        ","         1","     1","     2","       3","        57","    43"
"135","M    ","   18","R        ","A        ","     0","services","     1","at_home ","father    ","LE3      ","       4","reputation","           1","          2","         2","yes        ","yes     ","yes         ","no         ","yes       ","         4","     3","     2","       2","        26","    25"
"136","M    ","   19","U        ","T        ","     0","health  ","     2","at_home ","father    ","GT3      ","       4","other     ","           3","          3","         1","yes        ","no      ","yes         ","no         ","no        ","         4","     2","     2","       3","        42","    69"
"137","F    ","   16","U        ","A        ","     2","teacher ","     1","teacher ","other     ","LE3      ","       3","other     ","           2","          2","         2","no         ","yes     ","yes         ","yes        ","no        ","         2","     1","     2","       4","        75","    83"
